ID;Status;AnzeigeName;Title;Type-Id;PT/AT Version;ZulassungStatus;Zulassung Ab;Zulassung Bis;Abgekündigt Seit;Definiert in Release
ML-119549;final;ePA-Aktensystem;gemProdT_Aktensystem_ePA_PTV_1.1.3-0;gemProdT_Aktensystem_ePA;1.1.3-0;gültig (keine Neuzulassung);2020-03-03;2020-06-26;;R3.1.3
ML-119550;final;ePA-Aktensystem;gemProdT_Aktensystem_ePA_PTV_1.1.4-0;gemProdT_Aktensystem_ePA;1.1.4-0;gültig (keine Neuzulassung);2020-06-26;2020-09-09;;R3.1.3 Hotfix 2
ML-119460;final;ePA-Aktensystem;gemProdT_Aktensystem_ePA_PTV_1.1.5-0;gemProdT_Aktensystem_ePA;1.1.5-0;zulassungsfähig;2020-09-09;;;R3.1.3 Hotfix 3
ML-119459;final;ePA-Aktensystem;gemProdT_Aktensystem_ePA_PTV_2.2.0-0;gemProdT_Aktensystem_ePA;2.2.0-0;EOL (EndOfLife);2021-03-05;2021-06-02;;R4.0.2
ML-122730;final;ePA-Aktensystem;gemProdT_Aktensystem_ePA_PTV_2.3.0-0;gemProdT_Aktensystem_ePA;2.3.0-0;EOL (EndOfLife);2021-06-22;2021-07-09;2021-07-09;ePA 2.0.3
ML-121705;final;ePA-Aktensystem;gemProdT_Aktensystem_ePA_PTV_2.4.0-0;gemProdT_Aktensystem_ePA;2.4.0-0;gültig (keine Neuzulassung);2021-07-09;2021-09-02;2021-12-31;ePA 2.0.4
ML-124031;final;ePA-Aktensystem;gemProdT_Aktensystem_ePA_PTV_2.5.0-0;gemProdT_Aktensystem_ePA;2.5.0-0;gültig (keine Neuzulassung);2021-09-02;2021-10-04;;Konnektor-Maintenance-21.5
ML-124843;final;ePA-Aktensystem;gemProdT_Aktensystem_ePA_PTV_2.6.0-0;gemProdT_Aktensystem_ePA;2.6.0-0;zulassungsfähig;2021-10-04;;;Release ePA_2.0.5
ML-125257;geplant;ePA-Aktensystem;gemProdT_Aktensystem_ePA_PTV_2.6.0-0;gemProdT_Aktensystem_ePA;2.6.0-0;in Vorbereitung;;;;Konnektor_PTV5_Maintenance
ML-119410;final;Basis-Consumer;gemProdT_Basis-Consumer_PTV_1.3.0-1;gemProdT_Basis-Consumer;1.3.0-1;gültig (keine Neuzulassung);2021-05-12;2021-08-06;;R4.0.0 Hotfix1 + KIM-Patches 1.0.1
ML-120396;final;Basis-Consumer;gemProdT_Basis-Consumer_PTV_1.3.1-0;gemProdT_Basis-Consumer;1.3.1-0;EOL (EndOfLife);2021-03-05;2021-05-12;2021-05-12;R4.0.2
ML-120394;final;Basis-Consumer;gemProdT_Basis-Consumer_PTV_1.4.0-0;gemProdT_Basis-Consumer;1.4.0-0;zulassungsfähig;2021-05-12;;;KIM1.5.1
ML-121717;final;Basis-Consumer;gemProdT_Basis-Consumer_PTV_1.5.0-0;gemProdT_Basis-Consumer;1.5.0-0;zulassungsfähig;2021-08-06;;;Consumer-Maintenance Paket 1
ML-119562;final;Clientmodul KOM-LE;gemProdT_CM_KOMLE_PTV_1.2.1-0;gemProdT_CM_KOMLE;1.2.1-0;gültig (keine Neuzulassung);2018-05-18;2019-10-09;;R2.1.2
ML-119563;final;Clientmodul KOM-LE;gemProdT_CM_KOMLE_PTV_1.2.2-0;gemProdT_CM_KOMLE;1.2.2-0;gültig (keine Neuzulassung);2019-10-09;2020-06-30;;R2.1.2+ Errata 1 für KOM-LE
